stockDate,predictScore
23/11/30,-0.8
23/11/29,-2.8
23/11/28,-3
23/11/27,-4
23/11/24,0.85
23/11/23,2.83
23/11/22,2.5
23/11/21,-1
23/11/20,1.3
23/11/17,2.8
23/11/16,2.8
23/11/15,0.3
23/11/14,-4
23/11/13,0.17
23/11/11,0.8333
23/11/10,-1.833
23/11/09,1.0
23/11/08,3.0
23/11/07,1.3333
23/11/06,4.6666
23/11/05,3.6666
23/11/04,3.8333
23/11/03,5.5
23/11/02,1.5
23/11/01,0.3333
23/10/31,3.6666
23/10/30,-2.166
23/10/29,-1.0
23/10/28,-0.333
23/10/27,-5.166
23/10/26,-3.0
23/10/25,0.0
23/10/24,1.3333
23/10/23,1.8333
23/10/22,-1.333
23/10/21,-2.833
23/10/20,-1.0
23/10/19,-2.5
23/10/18,-2.833
23/10/17,1.5
23/10/16,1.3333
23/10/15,0.6666
23/10/14,-2.0
23/10/13,0.0
23/10/13,0.0
23/10/12,-0.166
23/10/11,0.6666
23/10/10,0.1666
23/10/09,0.0
23/10/08,3.0
23/10/07,0.8333
23/10/06,5.6666
23/10/05,6.1666
23/10/04,6.0
23/10/03,5.6666
23/10/02,2.3333
23/10/01,2.6666
23/09/30,-0.166
23/09/29,-5.166
23/09/28,-1.166
23/09/27,-4.833
23/09/26,-5.166
23/09/25,2.0
23/09/24,2.1666
23/09/23,2.8333
23/09/22,4.1666
23/09/21,1.1666
23/09/20,-2.333
23/09/19,-0.666
23/09/18,-0.333
23/09/17,2.8333
23/09/16,3.0
23/09/15,1.5
23/09/14,-4.0
23/09/13,0.1666
23/09/12,0.1666
23/09/11,1.6666
23/09/10,0.1666
23/09/09,3.4999
23/09/08,4.6666
23/09/07,2.8333
23/09/06,3.5
23/09/05,2.8333
23/09/04,0.8333
23/09/03,4.0
23/09/02,2.8333
23/09/01,2.1666
23/08/31,3.0
23/08/30,0.5
23/08/29,-4.0
23/08/28,-4.166
23/08/27,-5.666
23/08/26,-4.333
23/08/25,0.0
23/08/24,2.0
23/08/23,2.8333
23/08/22,2.8333
23/08/21,-0.666
23/08/20,-1.666
23/08/19,0.1666
23/08/18,-3.0
23/08/17,1.8333
23/08/16,2.1666
23/08/15,0.5
23/08/14,0.8333
23/08/13,1.6666
23/08/12,0.0
23/08/11,2.1666
23/08/10,0.1666
23/08/09,4.3333
23/08/08,4.1666
23/08/07,0.0
23/08/06,1.9999
23/08/05,4.5
23/08/04,3.8333
23/08/03,5.6666
23/08/02,1.5
23/08/01,1.0
23/07/31,0.0
23/07/30,-4.833
23/07/29,-5.666
23/07/28,-3.166
23/07/27,-5.833
23/07/26,-5.833
23/07/25,-0.666
23/07/24,2.1666
23/07/23,2.1666
23/07/22,1.5
23/07/21,1.1666
23/07/20,-1.5
23/07/19,-2.166
23/07/18,-3.166
23/07/17,-2.0
23/07/16,0.6666
23/07/15,0.1666
23/07/14,-1.5
23/07/13,1.0
23/07/12,-2.166
23/07/11,1.6666
23/07/10,0.1666
23/07/09,2.8333
23/07/08,3.8333
23/07/07,2.6666
23/07/06,3.8333
23/07/05,3.8333
23/07/04,5.1666
23/07/03,4.3333
23/07/02,3.0
23/07/01,3.1666
23/06/30,-1.5
23/06/29,-2.333
23/06/28,-0.666
23/06/27,-2.833
23/06/26,-3.5
23/06/25,0.8333
23/06/24,0.0
23/06/23,3.0
23/06/22,1.6666
23/06/21,-2.0
23/06/20,-0.833
23/06/19,-2.0
23/06/18,1.9999
23/06/17,3.0
23/06/16,3.0
23/06/15,0.1666
23/06/14,-2.833
23/06/13,0.8333
23/06/12,-0.833
23/06/11,0.3333
23/06/10,-0.833
23/06/09,1.6666
23/06/08,3.6666
23/06/07,1.0
23/06/06,3.0
23/06/05,3.6666
23/06/04,2.8333
23/06/03,5.6666
23/06/02,3.0
23/06/01,0.1666
23/05/31,3.0
23/05/30,1.1666
23/05/29,-2.833
23/05/28,-4.666
23/05/27,-3.833
23/05/26,-3.666
23/05/25,-0.666
23/05/24,-0.666
23/05/23,2.8333
23/05/22,0.6666
23/05/21,-1.0
23/05/20,-1.499
23/05/19,-2.166
23/05/18,-2.0
23/05/17,3.0
23/05/16,2.1666
23/05/15,0.8333
23/05/14,1.5
23/05/13,0.8333
23/05/12,0.0
23/05/11,3.4999
23/05/10,-0.5
23/05/09,2.8333
23/05/08,2.6666
23/05/07,0.8333
23/05/06,3.0
23/05/05,3.8333
23/05/04,5.6666
23/05/03,5.5
23/05/02,4.1666
23/05/01,2.5
23/04/30,-1.666
23/04/29,-5.833
23/04/28,-1.666
23/04/27,-3.5
23/04/26,-3.833
23/04/25,0.6666
23/04/24,3.5
23/04/23,3.1666
23/04/22,3.0
23/04/21,0.8333
23/04/20,-0.166
23/04/19,-2.833
23/04/18,-2.0
23/04/17,2.1666
23/04/16,0.8333
23/04/15,2.3333
23/04/14,-1.166
23/04/13,0.1666
23/04/12,-0.166
23/04/11,4.3333
23/04/10,0.6666
23/04/09,2.3333
23/04/08,3.9999
23/04/07,0.6666
23/04/06,5.5
23/04/05,4.0
23/04/04,5.6666
23/04/03,3.1666
23/04/02,0.1666
23/04/01,2.3333
23/03/31,3.0
23/03/30,1.1666
23/03/29,-6.5
23/03/28,-2.5
23/03/27,-2.0
23/03/26,-3.499
23/03/25,3.5
23/03/24,-1.166
23/03/23,2.8333
23/03/22,2.8333
23/03/21,-0.666
23/03/20,-0.833
23/03/19,-1.333
23/03/18,-0.666
23/03/17,2.6666
23/03/16,2.1666
23/03/15,0.0
23/03/14,-1.999
23/03/13,0.8333
23/03/12,-0.166
23/03/11,0.5
23/03/10,-1.166
23/03/09,0.8333
23/03/08,1.4999
23/03/07,-0.166
23/03/06,3.6666
23/03/05,5.0
23/03/04,5.8333
23/03/03,5.6666
23/03/02,2.3333
23/03/01,0.0
23/03/01,0.0
23/03/01,0.0
23/03/01,-1.166
23/03/01,0.0
23/02/28,-1.166
23/02/27,-4.0
23/02/26,-2.0
23/02/25,-2.666
23/02/24,2.6666
23/02/23,3.0
23/02/22,3.0
23/02/21,-1.333
23/02/20,-0.166
23/02/19,1.3333
23/02/18,-2.666
23/02/17,2.8333
23/02/16,3.0
23/02/15,0.0
23/02/14,0.0
23/02/13,1.6666
23/02/12,2.3333
23/02/11,1.1666
23/02/10,1.5
23/02/09,3.8333
23/02/08,4.1666
23/02/07,2.8333
23/02/06,3.1666
23/02/05,3.8333
23/02/04,6.0
23/02/03,6.1666
23/02/02,3.8333
23/02/01,1.1666
23/01/31,3.6666
23/01/30,-1.166
23/01/29,-1.333
23/01/28,0.0
23/01/27,-3.833
23/01/26,-1.0
23/01/25,-2.0
23/01/24,-1.833
23/01/23,2.1666
23/01/22,3.0
23/01/21,0.6666
23/01/20,3.1666
23/01/19,-1.333
23/01/18,-0.833
23/01/17,2.1666
23/01/16,-0.166
23/01/15,-0.666
23/01/14,-2.5
23/01/13,0.1666
23/01/12,-0.166
23/01/11,1.3333
23/01/10,-0.166
23/01/09,0.3333
23/01/08,0.1666
23/01/07,0.8333
23/01/06,4.6666
23/01/05,2.3333
23/01/04,2.0
23/01/03,2.8333
